,well_id_1,day_1,median_pixel_intensity_1,mw_area_shape_1,original_hyst1_area_1,original_hyst2_area_1,image_name_1,well_label,hyst1_area_1,hyst2_area_1,well_id_13,day_13,median_pixel_intensity_13,mw_area_shape_13,original_hyst1_area_13,original_hyst2_area_13,image_name_13,hyst1_area_13,hyst2_area_13
21,2673,1,121.0,8100,65,0,well2673_day01_well.png,2673,0.0605981332959766,0.0,2673,13,131.0,8463,429,167,well2673_day13_well.png,0.3999476797534456,0.13132025826590416
22,1738,1,119.0,11235,902,224,well1738_day01_well.png,1738,0.8409156343533983,0.22010263133602595,1738,13,130.0,8439,947,537,well1738_day13_well.png,0.8828681881736898,0.4222693334658115
23,4104,1,118.0,8184,45,0,well4104_day01_well.png,4104,0.04195255382029149,0.0,4104,13,128.0,9021,1008,685,well4104_day13_well.png,0.9397372055745294,0.5386489635457745
24,1049,1,133.0,6972,93,0,well1049_day01_well.png,1049,0.08670194456193575,0.0,1049,13,132.0,10605,230,0,well1049_day13_well.png,0.21442416397037875,0.0
25,2278,1,119.0,8099,609,557,well2278_day01_well.png,2278,0.5677578950346115,0.5473087752418145,2278,13,129.0,8550,1884,1698,well2278_day13_well.png,1.7564135866095372,1.3352203505120075
26,3709,1,121.0,9180,13,0,well3709_day01_well.png,3709,0.01211962665919532,0.0,3709,13,132.0,6806,37,0,well3709_day13_well.png,0.03449432203001745,0.0
27,4400,1,116.0,8008,28,0,well4400_day01_well.png,4400,0.02610381126595915,0.0,4400,13,126.0,8366,73,0,well4400_day13_well.png,0.06805636508625064,0.0
28,2786,1,120.0,8280,3,0,well2786_day01_well.png,2786,0.0027968369213527662,0.0,2786,13,130.0,9603,313,0,well2786_day13_well.png,0.2918033187944719,0.0
29,1803,1,135.0,7310,10,0,well1803_day01_well.png,1803,0.009322789737842554,0.0,1803,13,134.0,7980,617,271,well1803_day13_well.png,0.5752161268248855,0.2131005388626349
30,3970,1,104.0,8550,2,0,well3970_day01_well.png,3970,0.0018645579475685108,0.0,3970,13,119.0,8464,1,0,well3970_day13_well.png,0.0009322789737842554,0.0
31,4551,1,117.0,7912,15,0,well4551_day01_well.png,4551,0.01398418460676383,0.0,4551,13,125.0,8640,704,213,well4551_day13_well.png,0.6563243975441158,0.16749230545291965
32,4096,1,118.0,8190,42,0,well4096_day01_well.png,4096,0.03915571689893873,0.0,4096,13,130.0,8554,384,56,well4096_day13_well.png,0.3579951259331541,0.04403553570593193
33,661,1,140.0,7224,20,0,well0661_day01_well.png,0661,0.01864557947568511,0.0,661,13,145.0,7832,708,455,well0661_day13_well.png,0.6600535134392528,0.3577887276106969
34,2856,1,119.0,8096,460,443,well2856_day01_well.png,2856,0.4288483279407575,0.4352922575083013,2856,13,128.0,8366,292,0,well2856_day13_well.png,0.27222546034500256,0.0
35,3027,1,118.0,8277,4,0,well3027_day01_well.png,3027,0.0037291158951370217,0.0,3027,13,129.0,9504,439,0,well3027_day13_well.png,0.4092704694912881,0.0
36,3092,1,116.0,8008,22,0,well3092_day01_well.png,3092,0.020510137423253617,0.0,3092,13,126.0,9785,27,0,well3092_day13_well.png,0.025171532292174895,0.0
37,3628,1,120.0,7656,835,804,well3628_day01_well.png,3628,0.7784529431098532,0.7900112303310931,3628,13,130.0,8372,1531,1209,well3628_day13_well.png,1.427319108863695,0.9506957619369947
38,4690,1,117.0,9215,146,0,well4690_day01_well.png,4690,0.13611273017250128,0.0,4690,13,126.0,8640,991,712,well4690_day13_well.png,0.9238884630201971,0.5598803825468488
39,1590,1,129.0,8342,173,93,well1590_day01_well.png,1590,0.16128426246467617,0.09138189604576077,1590,13,131.0,8277,2295,2010,well1590_day13_well.png,2.139580244834866,1.5805611923021996
40,521,1,142.0,7392,43,0,well0521_day01_well.png,0521,0.04008799587272298,0.0,521,13,151.0,8277,513,391,well0521_day13_well.png,0.478259113551323,0.30746240108963185
41,53,1,147.0,7920,110,0,well0053_day01_well.png,0053,0.1025506871162681,0.0,53,13,133.0,6888,278,101,well0053_day13_well.png,0.259173554712023,0.0794212340410558
42,1837,1,120.0,8184,33,0,well1837_day01_well.png,1837,0.03076520613488043,0.0,1837,13,130.0,8366,82,0,well1837_day13_well.png,0.07644687585030895,0.0
43,4064,1,118.0,7921,4,0,well4064_day01_well.png,4064,0.0037291158951370217,0.0,4064,13,130.0,8277,92,0,well4064_day13_well.png,0.0857696655881515,0.0
44,1245,1,134.0,9312,291,0,well1245_day01_well.png,1245,0.27129318137121833,0.0,1245,13,137.0,7395,241,125,well1245_day13_well.png,0.22467923268200554,0.0982936064864552
45,3129,1,117.0,7832,8,0,well3129_day01_well.png,3129,0.007458231790274043,0.0,3129,13,128.0,8370,408,320,well3129_day13_well.png,0.3803698213039762,0.25163163260532534
46,4148,1,117.0,7920,20,0,well4148_day01_well.png,4148,0.01864557947568511,0.0,4148,13,127.0,8648,425,0,well4148_day13_well.png,0.39621856385830856,0.0
47,4550,1,117.0,8096,32,0,well4550_day01_well.png,4550,0.029832927161096173,0.0,4550,13,125.0,8550,1315,840,well4550_day13_well.png,1.2259468505262958,0.6605330355889789
48,1550,1,127.0,8463,57,0,well1550_day01_well.png,1550,0.05313990150570256,0.0,1550,13,130.0,8648,622,244,well1550_day13_well.png,0.5798775216938068,0.19186911986156055
49,2205,1,125.0,8556,401,292,well2205_day01_well.png,2205,0.3738438684874864,0.2869195015630338,2205,13,127.0,9776,40,0,well2205_day13_well.png,0.03729115895137022,0.0
50,103,1,146.0,7744,12,0,well0103_day01_well.png,0103,0.011187347685411065,0.0,103,13,146.0,9240,315,0,well0103_day13_well.png,0.2936678767420404,0.0
51,3328,1,119.0,8096,6,0,well3328_day01_well.png,3328,0.0055936738427055325,0.0,3328,13,129.0,8736,9,0,well3328_day13_well.png,0.008390510764058298,0.0
52,4485,1,117.0,8280,808,575,well4485_day01_well.png,4485,0.7532814108176784,0.5649955938313166,4485,13,127.0,8550,689,99,well4485_day13_well.png,0.642340212937352,0.07784853633727253
53,2469,1,120.0,8096,64,0,well2469_day01_well.png,2469,0.059665854322192347,0.0,2469,13,131.0,9009,202,94,well2469_day13_well.png,0.1883203527044196,0.0739167920778143
54,623,1,140.0,7310,1164,1033,well0623_day01_well.png,0623,1.0851727254848733,1.0150268668308697,623,13,153.0,8190,1658,1575,well0623_day13_well.png,1.5457185385342955,1.2384994417293356
55,4571,1,117.0,8004,189,0,well4571_day01_well.png,4571,0.17620072604522427,0.0,4571,13,126.0,8460,881,545,well4571_day13_well.png,0.821337775903929,0.4285601242809447
56,1096,1,129.0,8463,145,0,well1096_day01_well.png,1096,0.13518045119871702,0.0,1096,13,130.0,8280,61,0,well1096_day13_well.png,0.05686901740083958,0.0
57,3031,1,119.0,8188,14,0,well3031_day01_well.png,3031,0.013051905632979576,0.0,3031,13,128.0,8184,12,0,well3031_day13_well.png,0.011187347685411065,0.0
58,842,1,141.0,5250,2501,2482,well0842_day01_well.png,0842,2.3316297134344226,2.4388157632857874,842,13,143.0,4352,1787,1766,well0842_day13_well.png,1.6659825261524643,1.388692072440639
59,791,1,139.0,7310,235,206,well0791_day01_well.png,0791,0.2190855588393,0.20241581274652387,791,13,140.0,7569,210,126,well0791_day13_well.png,0.19577858449469362,0.09907995533834685
60,1319,1,118.0,7830,168,129,well1319_day01_well.png,1319,0.15662286759575492,0.12675553322476493,1319,13,130.0,8460,493,272,well1319_day13_well.png,0.45961353407563793,0.21388688771452652
61,3428,1,119.0,8178,300,247,well3428_day01_well.png,3428,0.2796836921352766,0.24270245508927862,3428,13,128.0,8742,224,158,well3428_day13_well.png,0.2088304901276732,0.12424311859887938
62,910,1,135.0,7298,257,25,well0910_day01_well.png,0910,0.23959569626255364,0.024565025818752896,910,13,136.0,7565,14,0,well0910_day13_well.png,0.013051905632979576,0.0
63,1333,1,124.0,8184,14,0,well1333_day01_well.png,1333,0.013051905632979576,0.0,1333,13,131.0,8722,105,0,well1333_day13_well.png,0.09788929224734681,0.0
64,2854,1,120.0,8463,8,0,well2854_day01_well.png,2854,0.007458231790274043,0.0,2854,13,128.0,8742,87,0,well2854_day13_well.png,0.08110827071923021,0.0
65,2920,1,118.0,8010,4,0,well2920_day01_well.png,2920,0.0037291158951370217,0.0,2920,13,130.0,8372,984,744,well2920_day13_well.png,0.9173625102037073,0.5850435458073814
66,1906,1,132.0,6806,424,320,well1906_day01_well.png,1906,0.3952862848845243,0.31443233048003705,1906,13,134.0,7216,1624,1605,well1906_day13_well.png,1.5140210534256306,1.2620899072860847
67,2348,1,118.0,8256,40,0,well2348_day01_well.png,2348,0.03729115895137022,0.0,2348,13,128.0,8245,172,122,well2348_day13_well.png,0.16035198349089191,0.09593455993078027
68,1284,1,133.0,6480,73,0,well1284_day01_well.png,1284,0.06805636508625064,0.0,1284,13,138.0,7225,128,0,well1284_day13_well.png,0.11933170864438469,0.0
69,706,1,141.0,7395,23,0,well0706_day01_well.png,0706,0.021442416397037874,0.0,706,13,148.0,7917,311,101,well0706_day13_well.png,0.2899387608469034,0.0794212340410558
70,3171,1,117.0,8008,12,0,well3171_day01_well.png,3171,0.011187347685411065,0.0,3171,13,128.0,8281,23,0,well3171_day13_well.png,0.021442416397037874,0.0
71,4048,1,118.0,7830,14,0,well4048_day01_well.png,4048,0.013051905632979576,0.0,4048,13,129.0,8370,990,719,well4048_day13_well.png,0.9229561840464129,0.5653848245100903
72,1762,1,139.0,7654,17,0,well1762_day01_well.png,1762,0.015848742554332343,0.0,1762,13,136.0,7896,39,0,well1762_day13_well.png,0.03635887997758596,0.0
73,4295,1,118.0,7921,2,0,well4295_day01_well.png,4295,0.0018645579475685108,0.0,4295,13,128.0,8281,10,0,well4295_day13_well.png,0.009322789737842554,0.0
74,250,1,146.0,7917,459,433,well0250_day01_well.png,0250,0.4279160489669732,0.4254662471808002,250,13,140.0,7743,87,0,well0250_day13_well.png,0.08110827071923021,0.0
75,3147,1,119.0,7820,8,0,well3147_day01_well.png,3147,0.007458231790274043,0.0,3147,13,128.0,8360,239,120,well3147_day13_well.png,0.22281467473443703,0.094361862226997
76,4670,1,117.0,9216,61,0,well4670_day01_well.png,4670,0.05686901740083958,0.0,4670,13,125.0,8633,626,55,well4670_day13_well.png,0.5836066375889438,0.04324918685404029
77,3656,1,115.0,7476,16,0,well3656_day01_well.png,3656,0.014916463580548087,0.0,3656,13,124.0,8370,1129,830,well3656_day13_well.png,1.0525429614024244,0.6526695470700625
78,3747,1,122.0,8096,329,271,well3747_day01_well.png,3747,0.30671978237502,0.2662848798752814,3747,13,132.0,8648,629,387,well3747_day13_well.png,0.5864034745102966,0.3043170056820653
79,4385,1,116.0,9212,216,0,well4385_day01_well.png,4385,0.20137225833739916,0.0,4385,13,126.0,8730,757,95,well4385_day13_well.png,0.7057351831546813,0.07470314092970595
80,2226,1,124.0,8360,38,0,well2226_day01_well.png,2226,0.035426601003801704,0.0,2226,13,128.0,8460,141,0,well2226_day13_well.png,0.13145133530358,0.0
81,2270,1,120.0,9282,40,0,well2270_day01_well.png,2270,0.03729115895137022,0.0,2270,13,128.0,8280,232,0,well2270_day13_well.png,0.21628872191794726,0.0
82,3767,1,122.0,7826,149,0,well3767_day01_well.png,3767,0.13890956709385405,0.0,3767,13,132.0,8184,549,339,well3767_day13_well.png,0.5118211566075562,0.2665722607912665
83,2376,1,118.0,8004,82,0,well2376_day01_well.png,2376,0.07644687585030895,0.0,2376,13,129.0,8463,122,0,well2376_day13_well.png,0.11373803480167916,0.0
84,4106,1,118.0,9108,225,0,well4106_day01_well.png,4106,0.20976276910145747,0.0,4106,13,129.0,8370,406,160,well4106_day13_well.png,0.37850526335640766,0.12581581630266267
85,4309,1,116.0,8004,244,171,well4309_day01_well.png,4309,0.2274760696033583,0.16802477660026982,4309,13,127.0,8640,939,459,well4309_day13_well.png,0.8754099563834158,0.3609341230182635
86,2513,1,121.0,8544,21,0,well2513_day01_well.png,2513,0.019577858449469365,0.0,2513,13,133.0,6480,2,0,well2513_day13_well.png,0.0018645579475685108,0.0
87,1523,1,136.0,9990,905,573,well1523_day01_well.png,1523,0.8437124712747511,0.5630303917658164,1523,13,139.0,7568,473,318,well1523_day13_well.png,0.4409679545999528,0.250058934901542
88,3585,1,118.0,8366,290,218,well3585_day01_well.png,3585,0.27036090239743404,0.21420702513952525,3585,13,126.0,9450,95,0,well3585_day13_well.png,0.08856650250950426,0.0
89,3266,1,118.0,7920,966,900,well3266_day01_well.png,3266,0.9005814886755907,0.8843409294751042,3266,13,129.0,8460,144,93,well3266_day13_well.png,0.13424817222493277,0.07313044322592267
90,1839,1,118.0,7650,38,0,well1839_day01_well.png,1839,0.035426601003801704,0.0,1839,13,130.0,8554,509,31,well1839_day13_well.png,0.474529997656186,0.02437681440864089
91,624,1,140.0,8342,501,325,well0624_day01_well.png,0624,0.4670717658659119,0.31934533564378764,624,13,152.0,8008,1504,1289,well0624_day13_well.png,1.4021475765715201,1.013603670088326
92,2066,1,128.0,8272,20,0,well2066_day01_well.png,2066,0.01864557947568511,0.0,2066,13,132.0,9776,792,453,well2066_day13_well.png,0.7383649472371303,0.35621602990691364
93,294,1,146.0,7654,37,0,well0294_day01_well.png,0294,0.03449432203001745,0.0,294,13,138.0,7134,221,0,well0294_day13_well.png,0.20603365320632044,0.0
94,2130,1,123.0,8370,76,0,well2130_day01_well.png,2130,0.07085320200760341,0.0,2130,13,129.0,8277,128,0,well2130_day13_well.png,0.11933170864438469,0.0
95,1681,1,138.0,7392,109,0,well1681_day01_well.png,1681,0.10161840814248384,0.0,1681,13,134.0,7310,51,0,well1681_day13_well.png,0.04754622766299702,0.0
96,189,1,151.0,8099,52,0,well0189_day01_well.png,0189,0.04847850663678128,0.0,189,13,145.0,7921,18,0,well0189_day13_well.png,0.016781021528116596,0.0
97,4526,1,116.0,8099,15,0,well4526_day01_well.png,4526,0.01398418460676383,0.0,4526,13,125.0,9737,1014,939,well4526_day13_well.png,0.9453308794172349,0.7383815719262514
98,4115,1,117.0,7832,12,0,well4115_day01_well.png,4115,0.011187347685411065,0.0,4115,13,129.0,9672,830,817,well4115_day13_well.png,0.773791548240932,0.6424470119954712
99,2008,1,129.0,8554,24,0,well2008_day01_well.png,2008,0.02237469537082213,0.0,2008,13,133.0,7968,11,0,well2008_day13_well.png,0.010255068711626809,0.0
100,3637,1,113.0,7744,9,0,well3637_day01_well.png,3637,0.008390510764058298,0.0,3637,13,125.0,8649,817,551,well3637_day13_well.png,0.7616719215817367,0.43327821739229455
101,251,1,145.0,7740,29,0,well0251_day01_well.png,0251,0.027036090239743408,0.0,251,13,139.0,7304,496,435,well0251_day13_well.png,0.46241037099699067,0.3420617505728641
102,1426,1,131.0,10028,1701,1338,well1426_day01_well.png,1426,1.5858065344070185,1.314720181819655,1426,13,136.0,7056,35,0,well1426_day13_well.png,0.032629764082448935,0.0
103,717,1,140.0,7743,200,161,well0717_day01_well.png,0717,0.1864557947568511,0.15819876627276866,717,13,140.0,7565,216,0,well0717_day13_well.png,0.20137225833739916,0.0
104,2777,1,119.0,9300,17,0,well2777_day01_well.png,2777,0.015848742554332343,0.0,2777,13,129.0,8835,480,39,well2777_day13_well.png,0.44749390741644257,0.030667605223774024
105,1791,1,125.0,7905,298,248,well1791_day01_well.png,1791,0.2778191341877081,0.24368505612202873,1791,13,138.0,13054,4455,3551,well1791_day13_well.png,4.153302828208858,2.7923247730672194
106,1905,1,134.0,7056,48,0,well1905_day01_well.png,1905,0.04474939074164426,0.0,1905,13,133.0,6806,118,0,well1905_day13_well.png,0.11000891890654213,0.0
107,527,1,143.0,7826,89,0,well0527_day01_well.png,0527,0.08297282866679873,0.0,527,13,149.0,9400,98,0,well0527_day13_well.png,0.09136333943085703,0.0
108,2732,1,120.0,8277,62,0,well2732_day01_well.png,2732,0.057801296374623834,0.0,2732,13,129.0,8554,345,117,well2732_day13_well.png,0.3216362459555681,0.09200281567132207
109,920,1,138.0,7224,978,709,well0920_day01_well.png,0920,0.9117688363610018,0.6966641322198321,920,13,139.0,7480,36,0,well0920_day13_well.png,0.03356204305623319,0.0
110,1035,1,130.0,8924,128,0,well1035_day01_well.png,1035,0.11933170864438469,0.0,1035,13,129.0,9696,376,0,well1035_day13_well.png,0.35053689414288003,0.0
111,1504,1,137.0,7047,71,0,well1504_day01_well.png,1504,0.06619180713868213,0.0,1504,13,140.0,7225,433,261,well1504_day13_well.png,0.4036767956485826,0.20523705034371847
112,3131,1,117.0,7743,0,0,well3131_day01_well.png,3131,0.0,0.0,3131,13,127.0,8272,111,0,well3131_day13_well.png,0.10348296609005235,0.0
113,986,1,136.0,7138,872,573,well0986_day01_well.png,0986,0.8129472651398707,0.5630303917658164,986,13,136.0,7055,52,0,well0986_day13_well.png,0.04847850663678128,0.0
114,3723,1,122.0,8342,7,0,well3723_day01_well.png,3723,0.006525952816489788,0.0,3723,13,133.0,9737,1506,1279,well3723_day13_well.png,1.4040121345190886,1.0057401815694096
115,934,1,135.0,7056,45,0,well0934_day01_well.png,0934,0.04195255382029149,0.0,934,13,136.0,7308,145,0,well0934_day13_well.png,0.13518045119871702,0.0
116,3030,1,118.0,8190,5,0,well3030_day01_well.png,3030,0.004661394868921277,0.0,3030,13,128.0,8188,35,0,well3030_day13_well.png,0.032629764082448935,0.0
117,4076,1,119.0,7743,694,674,well4076_day01_well.png,4076,0.6470016078062732,0.6622730960735781,4076,13,130.0,8463,135,0,well4076_day13_well.png,0.1258576614608745,0.0
118,1138,1,126.0,8265,230,159,well1138_day01_well.png,1138,0.21442416397037875,0.15623356420726842,1138,13,130.0,8448,171,0,well1138_day13_well.png,0.15941970451710766,0.0
119,393,1,144.0,7380,146,0,well0393_day01_well.png,0393,0.13611273017250128,0.0,393,13,139.0,7040,427,0,well0393_day13_well.png,0.39808312180587707,0.0
120,337,1,142.0,8944,24,0,well0337_day01_well.png,0337,0.02237469537082213,0.0,337,13,136.0,7304,179,0,well0337_day13_well.png,0.1668779363073817,0.0
121,1947,1,130.0,8648,509,436,well1947_day01_well.png,1947,0.474529997656186,0.4284140502790505,1947,13,132.0,8640,429,303,well1947_day13_well.png,0.3999476797534456,0.23826370212316741
122,908,1,138.0,7482,13,0,well0908_day01_well.png,0908,0.01211962665919532,0.0,908,13,138.0,7395,610,285,well0908_day13_well.png,0.5686901740083958,0.22410942278911786
123,1604,1,137.0,7308,518,380,well1604_day01_well.png,1604,0.4829205084202443,0.373388392445044,1604,13,136.0,7224,118,0,well1604_day13_well.png,0.11000891890654213,0.0
124,745,1,137.0,7310,863,322,well0745_day01_well.png,0745,0.8045567543758124,0.3163975325455373,745,13,148.0,7920,626,186,well0745_day13_well.png,0.5836066375889438,0.14626088645184535
125,1592,1,126.0,9282,191,0,well1592_day01_well.png,1592,0.17806528399279278,0.0,1592,13,131.0,8827,1545,1333,well1592_day13_well.png,1.4403710144966746,1.0482030195715584
126,863,1,140.0,7565,1231,1154,well0863_day01_well.png,0863,1.1476354167284184,1.1339215917936336,863,13,141.0,8256,616,286,well0863_day13_well.png,0.5742838478511013,0.2248957716410095
127,4547,1,117.0,7740,5,0,well4547_day01_well.png,4547,0.004661394868921277,0.0,4547,13,126.0,8352,46,0,well4547_day13_well.png,0.04288483279407575,0.0
128,233,1,145.0,7395,996,963,well0233_day01_well.png,0233,0.9285498578891184,0.9462447945383615,233,13,138.0,8245,122,0,well0233_day13_well.png,0.11373803480167916,0.0
129,4066,1,118.0,8372,24,0,well4066_day01_well.png,4066,0.02237469537082213,0.0,4066,13,128.0,8463,2,0,well4066_day13_well.png,0.0018645579475685108,0.0
130,3853,1,79.0,9800,134,55,well3853_day01_well.png,3853,0.12492538248709022,0.05404305680125637,3853,13,130.0,9604,430,192,well3853_day13_well.png,0.4008799587272298,0.1509789795631952
131,3983,1,118.0,8099,167,0,well3983_day01_well.png,3983,0.15569058862197066,0.0,3983,13,128.0,8554,1147,867,well3983_day13_well.png,1.069323982930541,0.6817644545900533
132,1084,1,136.0,6972,157,103,well1084_day01_well.png,1084,0.1463677988841281,0.10120790637326194,1084,13,135.0,7225,65,0,well1084_day13_well.png,0.0605981332959766,0.0
133,3908,1,120.0,7832,2,0,well3908_day01_well.png,3908,0.0018645579475685108,0.0,3908,13,126.0,8010,6,0,well3908_day13_well.png,0.0055936738427055325,0.0
134,3959,1,113.0,7998,292,0,well3959_day01_well.png,3959,0.27222546034500256,0.0,3959,13,128.0,8428,1392,894,well3959_day13_well.png,1.2977323315076834,0.7029958735911276
135,426,1,145.0,7650,40,0,well0426_day01_well.png,0426,0.03729115895137022,0.0,426,13,151.0,8084,147,0,well0426_day13_well.png,0.13704500914628553,0.0
136,4108,1,116.0,8800,491,318,well4108_day01_well.png,4108,0.4577489761280694,0.31246712841453683,4108,13,127.0,8370,1761,1693,well4108_day13_well.png,1.6417432728340737,1.3312886062525493
137,322,1,146.0,7654,76,0,well0322_day01_well.png,0322,0.07085320200760341,0.0,322,13,154.0,8096,210,59,well0322_day13_well.png,0.19577858449469362,0.04639458226160686
138,4266,1,117.0,8004,14,0,well4266_day01_well.png,4266,0.013051905632979576,0.0,4266,13,126.0,8544,34,0,well4266_day13_well.png,0.031697485108664686,0.0
139,348,1,148.0,7654,8,0,well0348_day01_well.png,0348,0.007458231790274043,0.0,348,13,147.0,7654,10,0,well0348_day13_well.png,0.009322789737842554,0.0
140,3440,1,118.0,8010,8,0,well3440_day01_well.png,3440,0.007458231790274043,0.0,3440,13,129.0,8640,45,0,well3440_day13_well.png,0.04195255382029149,0.0
141,3768,1,122.0,7920,2,0,well3768_day01_well.png,3768,0.0018645579475685108,0.0,3768,13,133.0,6075,42,0,well3768_day13_well.png,0.03915571689893873,0.0
142,2634,1,121.0,8004,67,0,well2634_day01_well.png,2634,0.06246269124354511,0.0,2634,13,130.0,9373,3131,2390,well2634_day13_well.png,2.9189654669185034,1.8793737560210235
143,1514,1,124.0,9373,403,273,well1514_day01_well.png,1514,0.3757084264350549,0.26825008194078165,1514,13,132.0,10282,5343,4848,well1514_day13_well.png,4.981166556929277,3.8122192339706786
144,115,1,145.0,7743,17,0,well0115_day01_well.png,0115,0.015848742554332343,0.0,115,13,136.0,8051,278,0,well0115_day13_well.png,0.259173554712023,0.0
145,3017,1,118.0,8188,9,0,well3017_day01_well.png,3017,0.008390510764058298,0.0,3017,13,127.0,8366,29,0,well3017_day13_well.png,0.027036090239743408,0.0
146,948,1,136.0,7138,85,0,well0948_day01_well.png,0948,0.07924371277166171,0.0,948,13,136.0,7224,63,0,well0948_day13_well.png,0.05873357534840809,0.0
147,433,1,145.0,7656,45,0,well0433_day01_well.png,0433,0.04195255382029149,0.0,433,13,140.0,7392,51,0,well0433_day13_well.png,0.04754622766299702,0.0
148,2970,1,118.0,8372,5,0,well2970_day01_well.png,2970,0.004661394868921277,0.0,2970,13,127.0,8645,9,0,well2970_day13_well.png,0.008390510764058298,0.0
149,100,1,144.0,7743,90,0,well0100_day01_well.png,0100,0.08390510764058298,0.0,100,13,150.0,8099,97,0,well0100_day13_well.png,0.09043106045707278,0.0
150,2960,1,115.0,9021,95,0,well2960_day01_well.png,2960,0.08856650250950426,0.0,2960,13,131.0,8366,212,0,well2960_day13_well.png,0.19764314244226214,0.0
151,4452,1,117.0,7921,0,0,well4452_day01_well.png,4452,0.0,0.0,4452,13,127.0,8184,318,47,well4452_day13_well.png,0.2964647136633932,0.03695839603890715
152,3625,1,121.0,9360,847,787,well3625_day01_well.png,3625,0.7896402907952643,0.7733070127743412,3625,13,131.0,8366,452,281,well3625_day13_well.png,0.42139009615048345,0.2209640273815513
153,881,1,139.0,7310,2290,2217,well0881_day01_well.png,0881,2.134918849965945,2.178426489607007,881,13,141.0,7656,994,710,well0881_day13_well.png,0.9266852999415499,0.5583076848430656
