,condition,well_id,day_0,well_label,image_name_0,has_cell_0,hyst2_area_0,day_1,image_name_1,has_cell_1,hyst2_area_1,day_2,image_name_2,has_cell_2,hyst2_area_2,day_3,image_name_3,has_cell_3,hyst2_area_3,day_4,image_name_4,has_cell_4,hyst2_area_4,day_5,image_name_5,has_cell_5,hyst2_area_5,day_6,image_name_6,has_cell_6,hyst2_area_6,day_7,image_name_7,has_cell_7,hyst2_area_7,day_8,image_name_8,has_cell_8,hyst2_area_8,day_9,image_name_9,has_cell_9,hyst2_area_9,day_10,image_name_10,has_cell_10,hyst2_area_10,day_11,image_name_11,has_cell_11,hyst2_area_11,day_12,image_name_12,has_cell_12,hyst2_area_12,day_13,image_name_13,has_cell_13,hyst2_area_13
10,C1,124,0,0124,well_C1/well0124_day00_well.png,1,302,1,well_C1/well0124_day01_well.png,1,435,2,well_C1/well0124_day02_well.png,0,0,3,well_C1/well0124_day03_well.png,1,658,4,well_C1/well0124_day04_well.png,1,1611,5,well_C1/well0124_day05_well.png,1,2121,6,well_C1/well0124_day06_well.png,1,3167,7,well_C1/well0124_day07_well.png,1,1540,8,well_C1/well0124_day08_well.png,1,1551,9,well_C1/well0124_day09_well.png,1,1727,10,well_C1/well0124_day10_well.png,1,1903,11,well_C1/well0124_day11_well.png,1,2199,12,well_C1/well0124_day12_well.png,1,2347,13,well_C1/well0124_day13_well.png,1,1630
11,C1,1410,0,1410,well_C1/well1410_day00_well.png,0,0,1,well_C1/well1410_day01_well.png,0,0,2,well_C1/well1410_day02_well.png,1,313,3,well_C1/well1410_day03_well.png,1,317,4,well_C1/well1410_day04_well.png,1,130,5,well_C1/well1410_day05_well.png,1,252,6,well_C1/well1410_day06_well.png,1,110,7,well_C1/well1410_day07_well.png,1,252,8,well_C1/well1410_day08_well.png,1,267,9,well_C1/well1410_day09_well.png,1,157,10,well_C1/well1410_day10_well.png,1,213,11,well_C1/well1410_day11_well.png,1,321,12,well_C1/well1410_day12_well.png,1,260,13,well_C1/well1410_day13_well.png,1,303
12,A1,1143,0,1143,well_A1/well1143_day00_well.png,0,0,1,well_A1/well1143_day01_well.png,0,0,2,well_A1/well1143_day02_well.png,0,0,3,well_A1/well1143_day03_well.png,1,49,4,well_A1/well1143_day04_well.png,0,0,5,well_A1/well1143_day05_well.png,1,431,6,well_A1/well1143_day06_well.png,0,0,7,well_A1/well1143_day07_well.png,0,0,8,well_A1/well1143_day08_well.png,0,0,9,well_A1/well1143_day09_well.png,0,0,10,well_A1/well1143_day10_well.png,0,0,11,well_A1/well1143_day11_well.png,0,0,12,well_A1/well1143_day12_well.png,0,0,13,well_A1/well1143_day13_well.png,0,0
13,C1,136,0,0136,well_C1/well0136_day00_well.png,1,784,1,well_C1/well0136_day01_well.png,1,807,2,well_C1/well0136_day02_well.png,1,670,3,well_C1/well0136_day03_well.png,1,358,4,well_C1/well0136_day04_well.png,1,951,5,well_C1/well0136_day05_well.png,1,833,6,well_C1/well0136_day06_well.png,1,1163,7,well_C1/well0136_day07_well.png,1,1029,8,well_C1/well0136_day08_well.png,1,701,9,well_C1/well0136_day09_well.png,1,882,10,well_C1/well0136_day10_well.png,1,1543,11,well_C1/well0136_day11_well.png,1,2090,12,well_C1/well0136_day12_well.png,1,1750,13,well_C1/well0136_day13_well.png,1,3001
14,A2,866,0,0866,well_A2/well0866_day00_well.png,1,3352,1,well_A2/well0866_day01_well.png,1,3551,2,well_A2/well0866_day02_well.png,1,3529,3,well_A2/well0866_day03_well.png,1,3576,4,well_A2/well0866_day04_well.png,1,3280,5,well_A2/well0866_day05_well.png,1,3548,6,well_A2/well0866_day06_well.png,1,3210,7,well_A2/well0866_day07_well.png,1,3282,8,well_A2/well0866_day08_well.png,1,3524,9,well_A2/well0866_day09_well.png,1,3313,10,well_A2/well0866_day10_well.png,1,4015,11,well_A2/well0866_day11_well.png,1,3606,12,well_A2/well0866_day12_well.png,1,3523,13,well_A2/well0866_day13_well.png,1,3451
15,A2,1517,0,1517,well_A2/well1517_day00_well.png,1,1908,1,well_A2/well1517_day01_well.png,1,2329,2,well_A2/well1517_day02_well.png,1,1986,3,well_A2/well1517_day03_well.png,1,2511,4,well_A2/well1517_day04_well.png,1,2187,5,well_A2/well1517_day05_well.png,1,2325,6,well_A2/well1517_day06_well.png,1,2268,7,well_A2/well1517_day07_well.png,1,1723,8,well_A2/well1517_day08_well.png,1,2030,9,well_A2/well1517_day09_well.png,1,2200,10,well_A2/well1517_day10_well.png,1,2147,11,well_A2/well1517_day11_well.png,1,2175,12,well_A2/well1517_day12_well.png,1,2332,13,well_A2/well1517_day13_well.png,1,2254
16,A1,2368,0,2368,well_A1/well2368_day00_well.png,0,0,1,well_A1/well2368_day01_well.png,1,560,2,well_A1/well2368_day02_well.png,1,85,3,well_A1/well2368_day03_well.png,1,420,4,well_A1/well2368_day04_well.png,1,155,5,well_A1/well2368_day05_well.png,1,492,6,well_A1/well2368_day06_well.png,1,1379,7,well_A1/well2368_day07_well.png,1,1185,8,well_A1/well2368_day08_well.png,1,973,9,well_A1/well2368_day09_well.png,1,896,10,well_A1/well2368_day10_well.png,1,1058,11,well_A1/well2368_day11_well.png,1,1612,12,well_A1/well2368_day12_well.png,1,566,13,well_A1/well2368_day13_well.png,1,1033
17,A1,854,0,0854,well_A1/well0854_day00_well.png,0,0,1,well_A1/well0854_day01_well.png,1,58,2,well_A1/well0854_day02_well.png,1,619,3,well_A1/well0854_day03_well.png,1,190,4,well_A1/well0854_day04_well.png,1,121,5,well_A1/well0854_day05_well.png,1,1020,6,well_A1/well0854_day06_well.png,0,0,7,well_A1/well0854_day07_well.png,1,105,8,well_A1/well0854_day08_well.png,1,1310,9,well_A1/well0854_day09_well.png,1,1715,10,well_A1/well0854_day10_well.png,1,1730,11,well_A1/well0854_day11_well.png,1,840,12,well_A1/well0854_day12_well.png,1,1716,13,well_A1/well0854_day13_well.png,0,0
18,C1,343,0,0343,well_C1/well0343_day00_well.png,0,0,1,well_C1/well0343_day01_well.png,0,0,2,well_C1/well0343_day02_well.png,0,0,3,well_C1/well0343_day03_well.png,0,0,4,well_C1/well0343_day04_well.png,0,0,5,well_C1/well0343_day05_well.png,0,0,6,well_C1/well0343_day06_well.png,0,0,7,well_C1/well0343_day07_well.png,0,0,8,well_C1/well0343_day08_well.png,0,0,9,well_C1/well0343_day09_well.png,0,0,10,well_C1/well0343_day10_well.png,1,222,11,well_C1/well0343_day11_well.png,1,285,12,well_C1/well0343_day12_well.png,1,275,13,well_C1/well0343_day13_well.png,1,317
19,C1,933,0,0933,well_C1/well0933_day00_well.png,0,0,1,well_C1/well0933_day01_well.png,0,0,2,well_C1/well0933_day02_well.png,0,0,3,well_C1/well0933_day03_well.png,0,0,4,well_C1/well0933_day04_well.png,0,0,5,well_C1/well0933_day05_well.png,0,0,6,well_C1/well0933_day06_well.png,0,0,7,well_C1/well0933_day07_well.png,0,0,8,well_C1/well0933_day08_well.png,0,0,9,well_C1/well0933_day09_well.png,0,0,10,well_C1/well0933_day10_well.png,0,0,11,well_C1/well0933_day11_well.png,0,0,12,well_C1/well0933_day12_well.png,0,0,13,well_C1/well0933_day13_well.png,1,161
20,A1,651,0,0651,well_A1/well0651_day00_well.png,1,2276,1,well_A1/well0651_day01_well.png,0,0,2,well_A1/well0651_day02_well.png,0,0,3,well_A1/well0651_day03_well.png,0,0,4,well_A1/well0651_day04_well.png,0,0,5,well_A1/well0651_day05_well.png,0,0,6,well_A1/well0651_day06_well.png,0,0,7,well_A1/well0651_day07_well.png,0,0,8,well_A1/well0651_day08_well.png,0,0,9,well_A1/well0651_day09_well.png,0,0,10,well_A1/well0651_day10_well.png,0,0,11,well_A1/well0651_day11_well.png,0,0,12,well_A1/well0651_day12_well.png,0,0,13,well_A1/well0651_day13_well.png,0,0
21,A1,2346,0,2346,well_A1/well2346_day00_well.png,0,0,1,well_A1/well2346_day01_well.png,1,375,2,well_A1/well2346_day02_well.png,1,204,3,well_A1/well2346_day03_well.png,1,243,4,well_A1/well2346_day04_well.png,1,166,5,well_A1/well2346_day05_well.png,0,0,6,well_A1/well2346_day06_well.png,1,83,7,well_A1/well2346_day07_well.png,1,137,8,well_A1/well2346_day08_well.png,1,297,9,well_A1/well2346_day09_well.png,0,0,10,well_A1/well2346_day10_well.png,0,0,11,well_A1/well2346_day11_well.png,0,0,12,well_A1/well2346_day12_well.png,1,128,13,well_A1/well2346_day13_well.png,1,83
22,A1,4686,0,4686,well_A1/well4686_day00_well.png,1,1260,1,well_A1/well4686_day01_well.png,0,0,2,well_A1/well4686_day02_well.png,0,0,3,well_A1/well4686_day03_well.png,0,0,4,well_A1/well4686_day04_well.png,0,0,5,well_A1/well4686_day05_well.png,0,0,6,well_A1/well4686_day06_well.png,0,0,7,well_A1/well4686_day07_well.png,0,0,8,well_A1/well4686_day08_well.png,0,0,9,well_A1/well4686_day09_well.png,0,0,10,well_A1/well4686_day10_well.png,0,0,11,well_A1/well4686_day11_well.png,0,0,12,well_A1/well4686_day12_well.png,0,0,13,well_A1/well4686_day13_well.png,0,0
23,C1,1532,0,1532,well_C1/well1532_day00_well.png,1,25,1,well_C1/well1532_day01_well.png,0,0,2,well_C1/well1532_day02_well.png,0,0,3,well_C1/well1532_day03_well.png,0,0,4,well_C1/well1532_day04_well.png,0,0,5,well_C1/well1532_day05_well.png,0,0,6,well_C1/well1532_day06_well.png,0,0,7,well_C1/well1532_day07_well.png,0,0,8,well_C1/well1532_day08_well.png,0,0,9,well_C1/well1532_day09_well.png,0,0,10,well_C1/well1532_day10_well.png,0,0,11,well_C1/well1532_day11_well.png,1,2953,12,well_C1/well1532_day12_well.png,0,0,13,well_C1/well1532_day13_well.png,0,0
24,A1,2345,0,2345,well_A1/well2345_day00_well.png,0,0,1,well_A1/well2345_day01_well.png,0,0,2,well_A1/well2345_day02_well.png,0,0,3,well_A1/well2345_day03_well.png,0,0,4,well_A1/well2345_day04_well.png,0,0,5,well_A1/well2345_day05_well.png,0,0,6,well_A1/well2345_day06_well.png,0,0,7,well_A1/well2345_day07_well.png,0,0,8,well_A1/well2345_day08_well.png,0,0,9,well_A1/well2345_day09_well.png,0,0,10,well_A1/well2345_day10_well.png,0,0,11,well_A1/well2345_day11_well.png,0,0,12,well_A1/well2345_day12_well.png,0,0,13,well_A1/well2345_day13_well.png,0,0
25,A1,490,0,0490,well_A1/well0490_day00_well.png,1,2596,1,well_A1/well0490_day01_well.png,1,942,2,well_A1/well0490_day02_well.png,1,4360,3,well_A1/well0490_day03_well.png,0,0,4,well_A1/well0490_day04_well.png,0,0,5,well_A1/well0490_day05_well.png,0,0,6,well_A1/well0490_day06_well.png,0,0,7,well_A1/well0490_day07_well.png,0,0,8,well_A1/well0490_day08_well.png,0,0,9,well_A1/well0490_day09_well.png,0,0,10,well_A1/well0490_day10_well.png,0,0,11,well_A1/well0490_day11_well.png,0,0,12,well_A1/well0490_day12_well.png,0,0,13,well_A1/well0490_day13_well.png,1,408
26,A2,1607,0,1607,well_A2/well1607_day00_well.png,1,1646,1,well_A2/well1607_day01_well.png,1,1846,2,well_A2/well1607_day02_well.png,1,1725,3,well_A2/well1607_day03_well.png,1,2153,4,well_A2/well1607_day04_well.png,1,1751,5,well_A2/well1607_day05_well.png,1,1768,6,well_A2/well1607_day06_well.png,1,1883,7,well_A2/well1607_day07_well.png,1,1641,8,well_A2/well1607_day08_well.png,1,1693,9,well_A2/well1607_day09_well.png,1,1733,10,well_A2/well1607_day10_well.png,1,1589,11,well_A2/well1607_day11_well.png,1,1758,12,well_A2/well1607_day12_well.png,1,2206,13,well_A2/well1607_day13_well.png,1,2075
27,C1,576,0,0576,well_C1/well0576_day00_well.png,1,622,1,well_C1/well0576_day01_well.png,1,339,2,well_C1/well0576_day02_well.png,1,510,3,well_C1/well0576_day03_well.png,1,801,4,well_C1/well0576_day04_well.png,1,1578,5,well_C1/well0576_day05_well.png,1,2757,6,well_C1/well0576_day06_well.png,1,5768,7,well_C1/well0576_day07_well.png,1,4057,8,well_C1/well0576_day08_well.png,1,5647,9,well_C1/well0576_day09_well.png,1,5366,10,well_C1/well0576_day10_well.png,1,5700,11,well_C1/well0576_day11_well.png,1,6554,12,well_C1/well0576_day12_well.png,1,10329,13,well_C1/well0576_day13_well.png,1,11546
28,C1,794,0,0794,well_C1/well0794_day00_well.png,0,0,1,well_C1/well0794_day01_well.png,0,0,2,well_C1/well0794_day02_well.png,0,0,3,well_C1/well0794_day03_well.png,0,0,4,well_C1/well0794_day04_well.png,0,0,5,well_C1/well0794_day05_well.png,0,0,6,well_C1/well0794_day06_well.png,0,0,7,well_C1/well0794_day07_well.png,0,0,8,well_C1/well0794_day08_well.png,0,0,9,well_C1/well0794_day09_well.png,0,0,10,well_C1/well0794_day10_well.png,0,0,11,well_C1/well0794_day11_well.png,0,0,12,well_C1/well0794_day12_well.png,0,0,13,well_C1/well0794_day13_well.png,0,0
29,A2,3559,0,3559,well_A2/well3559_day00_well.png,1,382,1,well_A2/well3559_day01_well.png,0,0,2,well_A2/well3559_day02_well.png,0,0,3,well_A2/well3559_day03_well.png,1,46,4,well_A2/well3559_day04_well.png,1,46,5,well_A2/well3559_day05_well.png,1,51,6,well_A2/well3559_day06_well.png,1,46,7,well_A2/well3559_day07_well.png,1,62,8,well_A2/well3559_day08_well.png,1,177,9,well_A2/well3559_day09_well.png,0,0,10,well_A2/well3559_day10_well.png,1,153,11,well_A2/well3559_day11_well.png,1,124,12,well_A2/well3559_day12_well.png,1,156,13,well_A2/well3559_day13_well.png,1,160
30,C1,72,0,0072,well_C1/well0072_day00_well.png,0,0,1,well_C1/well0072_day01_well.png,0,0,2,well_C1/well0072_day02_well.png,0,0,3,well_C1/well0072_day03_well.png,0,0,4,well_C1/well0072_day04_well.png,0,0,5,well_C1/well0072_day05_well.png,0,0,6,well_C1/well0072_day06_well.png,0,0,7,well_C1/well0072_day07_well.png,0,0,8,well_C1/well0072_day08_well.png,0,0,9,well_C1/well0072_day09_well.png,0,0,10,well_C1/well0072_day10_well.png,0,0,11,well_C1/well0072_day11_well.png,1,363,12,well_C1/well0072_day12_well.png,0,0,13,well_C1/well0072_day13_well.png,1,237
31,A1,1202,0,1202,well_A1/well1202_day00_well.png,0,0,1,well_A1/well1202_day01_well.png,0,0,2,well_A1/well1202_day02_well.png,0,0,3,well_A1/well1202_day03_well.png,0,0,4,well_A1/well1202_day04_well.png,0,0,5,well_A1/well1202_day05_well.png,0,0,6,well_A1/well1202_day06_well.png,0,0,7,well_A1/well1202_day07_well.png,0,0,8,well_A1/well1202_day08_well.png,0,0,9,well_A1/well1202_day09_well.png,0,0,10,well_A1/well1202_day10_well.png,0,0,11,well_A1/well1202_day11_well.png,0,0,12,well_A1/well1202_day12_well.png,0,0,13,well_A1/well1202_day13_well.png,0,0
32,C1,2121,0,2121,well_C1/well2121_day00_well.png,1,362,1,well_C1/well2121_day01_well.png,1,623,2,well_C1/well2121_day02_well.png,1,839,3,well_C1/well2121_day03_well.png,1,3025,4,well_C1/well2121_day04_well.png,1,1803,5,well_C1/well2121_day05_well.png,1,2045,6,well_C1/well2121_day06_well.png,1,2255,7,well_C1/well2121_day07_well.png,1,2867,8,well_C1/well2121_day08_well.png,1,2623,9,well_C1/well2121_day09_well.png,1,2800,10,well_C1/well2121_day10_well.png,1,5550,11,well_C1/well2121_day11_well.png,1,2748,12,well_C1/well2121_day12_well.png,1,2992,13,well_C1/well2121_day13_well.png,1,2717
33,C1,2321,0,2321,well_C1/well2321_day00_well.png,0,0,1,well_C1/well2321_day01_well.png,0,0,2,well_C1/well2321_day02_well.png,0,0,3,well_C1/well2321_day03_well.png,0,0,4,well_C1/well2321_day04_well.png,0,0,5,well_C1/well2321_day05_well.png,0,0,6,well_C1/well2321_day06_well.png,0,0,7,well_C1/well2321_day07_well.png,0,0,8,well_C1/well2321_day08_well.png,0,0,9,well_C1/well2321_day09_well.png,1,39,10,well_C1/well2321_day10_well.png,0,0,11,well_C1/well2321_day11_well.png,0,0,12,well_C1/well2321_day12_well.png,0,0,13,well_C1/well2321_day13_well.png,0,0
34,C1,876,0,0876,well_C1/well0876_day00_well.png,0,0,1,well_C1/well0876_day01_well.png,1,34,2,well_C1/well0876_day02_well.png,0,0,3,well_C1/well0876_day03_well.png,1,34,4,well_C1/well0876_day04_well.png,0,0,5,well_C1/well0876_day05_well.png,1,1134,6,well_C1/well0876_day06_well.png,0,0,7,well_C1/well0876_day07_well.png,0,0,8,well_C1/well0876_day08_well.png,0,0,9,well_C1/well0876_day09_well.png,1,87,10,well_C1/well0876_day10_well.png,0,0,11,well_C1/well0876_day11_well.png,0,0,12,well_C1/well0876_day12_well.png,0,0,13,well_C1/well0876_day13_well.png,0,0
35,A1,1239,0,1239,well_A1/well1239_day00_well.png,0,0,1,well_A1/well1239_day01_well.png,0,0,2,well_A1/well1239_day02_well.png,0,0,3,well_A1/well1239_day03_well.png,0,0,4,well_A1/well1239_day04_well.png,0,0,5,well_A1/well1239_day05_well.png,0,0,6,well_A1/well1239_day06_well.png,0,0,7,well_A1/well1239_day07_well.png,0,0,8,well_A1/well1239_day08_well.png,0,0,9,well_A1/well1239_day09_well.png,0,0,10,well_A1/well1239_day10_well.png,0,0,11,well_A1/well1239_day11_well.png,0,0,12,well_A1/well1239_day12_well.png,0,0,13,well_A1/well1239_day13_well.png,0,0
36,C1,1281,0,1281,well_C1/well1281_day00_well.png,0,0,1,well_C1/well1281_day01_well.png,0,0,2,well_C1/well1281_day02_well.png,0,0,3,well_C1/well1281_day03_well.png,0,0,4,well_C1/well1281_day04_well.png,0,0,5,well_C1/well1281_day05_well.png,0,0,6,well_C1/well1281_day06_well.png,0,0,7,well_C1/well1281_day07_well.png,0,0,8,well_C1/well1281_day08_well.png,0,0,9,well_C1/well1281_day09_well.png,0,0,10,well_C1/well1281_day10_well.png,0,0,11,well_C1/well1281_day11_well.png,0,0,12,well_C1/well1281_day12_well.png,0,0,13,well_C1/well1281_day13_well.png,0,0
37,C1,2502,0,2502,well_C1/well2502_day00_well.png,0,0,1,well_C1/well2502_day01_well.png,0,0,2,well_C1/well2502_day02_well.png,0,0,3,well_C1/well2502_day03_well.png,0,0,4,well_C1/well2502_day04_well.png,0,0,5,well_C1/well2502_day05_well.png,0,0,6,well_C1/well2502_day06_well.png,0,0,7,well_C1/well2502_day07_well.png,0,0,8,well_C1/well2502_day08_well.png,0,0,9,well_C1/well2502_day09_well.png,0,0,10,well_C1/well2502_day10_well.png,0,0,11,well_C1/well2502_day11_well.png,0,0,12,well_C1/well2502_day12_well.png,0,0,13,well_C1/well2502_day13_well.png,0,0
38,A1,346,0,0346,well_A1/well0346_day00_well.png,0,0,1,well_A1/well0346_day01_well.png,0,0,2,well_A1/well0346_day02_well.png,0,0,3,well_A1/well0346_day03_well.png,0,0,4,well_A1/well0346_day04_well.png,0,0,5,well_A1/well0346_day05_well.png,0,0,6,well_A1/well0346_day06_well.png,0,0,7,well_A1/well0346_day07_well.png,0,0,8,well_A1/well0346_day08_well.png,1,132,9,well_A1/well0346_day09_well.png,0,0,10,well_A1/well0346_day10_well.png,0,0,11,well_A1/well0346_day11_well.png,0,0,12,well_A1/well0346_day12_well.png,0,0,13,well_A1/well0346_day13_well.png,0,0
39,A2,1869,0,1869,well_A2/well1869_day00_well.png,1,1680,1,well_A2/well1869_day01_well.png,1,1676,2,well_A2/well1869_day02_well.png,1,1512,3,well_A2/well1869_day03_well.png,1,2071,4,well_A2/well1869_day04_well.png,1,1665,5,well_A2/well1869_day05_well.png,1,1738,6,well_A2/well1869_day06_well.png,1,1569,7,well_A2/well1869_day07_well.png,1,1642,8,well_A2/well1869_day08_well.png,1,1431,9,well_A2/well1869_day09_well.png,1,1538,10,well_A2/well1869_day10_well.png,1,1580,11,well_A2/well1869_day11_well.png,1,1542,12,well_A2/well1869_day12_well.png,1,1522,13,well_A2/well1869_day13_well.png,1,1779
40,A1,2811,0,2811,well_A1/well2811_day00_well.png,0,0,1,well_A1/well2811_day01_well.png,0,0,2,well_A1/well2811_day02_well.png,1,59,3,well_A1/well2811_day03_well.png,1,127,4,well_A1/well2811_day04_well.png,1,103,5,well_A1/well2811_day05_well.png,1,146,6,well_A1/well2811_day06_well.png,0,0,7,well_A1/well2811_day07_well.png,0,0,8,well_A1/well2811_day08_well.png,1,192,9,well_A1/well2811_day09_well.png,0,0,10,well_A1/well2811_day10_well.png,0,0,11,well_A1/well2811_day11_well.png,0,0,12,well_A1/well2811_day12_well.png,0,0,13,well_A1/well2811_day13_well.png,1,122
