,well_id_1,day_1,median_pixel_intensity_1,mw_area_shape_1,original_hyst1_area_1,original_hyst2_area_1,image_name_1,well_label,well_id_13,day_13,median_pixel_intensity_13,mw_area_shape_13,original_hyst1_area_13,original_hyst2_area_13,image_name_13,hyst2_area_13
51,555,1,142.0,7392,50,0,well0555_day01_well.png,0555,555,13,141.0,7480,40,0,well0555_day13_well.png,0.0
52,3132,1,116.0,7820,15,0,well3132_day01_well.png,3132,3132,13,126.0,8265,69,0,well3132_day13_well.png,0.0
53,3710,1,120.0,9064,7,0,well3710_day01_well.png,3710,3710,13,131.0,8645,657,406,well3710_day13_well.png,0.3192576338680075
54,472,1,145.0,8004,9,0,well0472_day01_well.png,0472,472,13,142.0,7656,35,0,well0472_day13_well.png,0.0
55,262,1,146.0,7568,15,0,well0262_day01_well.png,0262,262,13,151.0,8096,372,347,well0262_day13_well.png,0.27286305160640045
56,1854,1,124.0,8281,278,0,well1854_day01_well.png,1854,1854,13,133.0,6560,858,388,well1854_day13_well.png,0.30510335453395787
57,3463,1,116.0,4550,1437,1406,well3463_day01_well.png,3463,3463,13,126.0,5016,1602,1573,well3463_day13_well.png,1.236926744025556
58,2651,1,120.0,8455,16,0,well2651_day01_well.png,2651,2651,13,131.0,8370,97,0,well2651_day13_well.png,0.0
59,1639,1,117.0,9500,161,0,well1639_day01_well.png,1639,1639,13,130.0,8463,755,221,well1639_day13_well.png,0.17378309626805333
60,2618,1,121.0,7832,44,0,well2618_day01_well.png,2618,2618,13,131.0,8372,108,0,well2618_day13_well.png,0.0
61,2391,1,116.0,8280,118,0,well2391_day01_well.png,2391,2391,13,127.0,9024,355,138,well2391_day13_well.png,0.10851614156104687
62,1314,1,123.0,8008,14,0,well1314_day01_well.png,1314,1314,13,131.0,8554,207,105,well1314_day13_well.png,0.08256662944862261
63,770,1,138.0,7480,375,313,well0770_day01_well.png,0770,770,13,142.0,9100,2090,1365,well0770_day13_well.png,1.0733661828320942
64,1207,1,130.0,8190,121,0,well1207_day01_well.png,1207,1207,13,133.0,8463,291,0,well1207_day13_well.png,0.0
65,1099,1,128.0,8649,174,37,well1099_day01_well.png,1099,1099,13,131.0,8550,967,752,well1099_day13_well.png,0.5913343366225163
66,3766,1,122.0,8008,15,0,well3766_day01_well.png,3766,3766,13,132.0,8463,331,0,well3766_day13_well.png,0.0
67,3088,1,117.0,11016,4,0,well3088_day01_well.png,3088,3088,13,127.0,8550,1112,1035,well3088_day13_well.png,0.8138710617078515
68,73,1,146.0,7830,403,304,well0073_day01_well.png,0073,73,13,137.0,7138,217,120,well0073_day13_well.png,0.09436186222699729
69,1728,1,130.0,8550,36,0,well1728_day01_well.png,1728,1728,13,138.0,7224,350,224,well1728_day13_well.png,0.17614214282372825
70,780,1,137.0,7140,265,47,well0780_day01_well.png,0780,780,13,144.0,9152,974,925,well0780_day13_well.png,0.7273726879997707
71,4051,1,118.0,7654,21,0,well4051_day01_well.png,4051,4051,13,128.0,8096,33,0,well4051_day13_well.png,0.0
72,96,1,143.0,7656,24,0,well0096_day01_well.png,0096,96,13,135.0,9690,1074,996,well0096_day13_well.png,0.7832034564840774
73,3926,1,119.0,8463,530,422,well3926_day01_well.png,3926,3926,13,131.0,8740,1071,569,well3926_day13_well.png,0.44743249672634544
74,2187,1,124.0,9898,109,0,well2187_day01_well.png,2187,2187,13,131.0,8550,18,0,well2187_day13_well.png,0.0
75,567,1,143.0,7560,169,0,well0567_day01_well.png,0567,567,13,150.0,9212,619,138,well0567_day13_well.png,0.10851614156104687
76,2801,1,118.0,8096,56,0,well2801_day01_well.png,2801,2801,13,132.0,9009,628,267,well2801_day13_well.png,0.20995514345506894
77,3241,1,117.0,8008,100,0,well3241_day01_well.png,3241,3241,13,127.0,8464,112,0,well3241_day13_well.png,0.0
78,2324,1,120.0,9646,20,0,well2324_day01_well.png,2324,2324,13,127.0,8645,9,0,well2324_day13_well.png,0.0
79,2979,1,117.0,8096,12,0,well2979_day01_well.png,2979,2979,13,127.0,8280,64,0,well2979_day13_well.png,0.0
80,2680,1,118.0,8188,0,0,well2680_day01_well.png,2680,2680,13,130.0,8648,15,0,well2680_day13_well.png,0.0
81,1740,1,141.0,7396,115,0,well1740_day01_well.png,1740,1740,13,137.0,7134,328,82,well1740_day13_well.png,0.06448060585511481
82,4087,1,118.0,9100,716,201,well4087_day01_well.png,4087,4087,13,127.0,8832,1971,1916,well4087_day13_well.png,1.50664440022439
83,4317,1,116.0,8372,1569,1555,well4317_day01_well.png,4317,4317,13,129.0,8281,3,0,well4317_day13_well.png,0.0
84,3919,1,110.0,8010,189,47,well3919_day01_well.png,3919,3919,13,129.0,8280,327,0,well3919_day13_well.png,0.0
85,418,1,141.0,7565,59,0,well0418_day01_well.png,0418,418,13,134.0,7138,223,0,well0418_day13_well.png,0.0
86,2202,1,127.0,8930,34,0,well2202_day01_well.png,2202,2202,13,129.0,9858,183,0,well2202_day13_well.png,0.0
87,4469,1,116.0,9486,647,348,well4469_day01_well.png,4469,4469,13,126.0,8740,2138,1717,well4469_day13_well.png,1.3501609786979527
88,2664,1,120.0,8096,1,0,well2664_day01_well.png,2664,2664,13,131.0,8536,82,0,well2664_day13_well.png,0.0
89,2067,1,127.0,8372,85,0,well2067_day01_well.png,2067,2067,13,133.0,7954,61,0,well2067_day13_well.png,0.0
90,2531,1,121.0,7743,38,0,well2531_day01_well.png,2531,2531,13,132.0,8554,608,418,well2531_day13_well.png,0.3286938200907072
91,3631,1,118.0,7656,162,0,well3631_day01_well.png,3631,3631,13,128.0,8648,21,0,well3631_day13_well.png,0.0
92,3378,1,118.0,8091,1,0,well3378_day01_well.png,3378,3378,13,127.0,8827,7,0,well3378_day13_well.png,0.0
93,634,1,141.0,7826,482,386,well0634_day01_well.png,0634,634,13,142.0,9024,422,237,well0634_day13_well.png,0.18636467789831962
94,1972,1,124.0,8280,291,203,well1972_day01_well.png,1972,1972,13,133.0,6885,203,0,well1972_day13_well.png,0.0
95,4322,1,117.0,7826,2,0,well4322_day01_well.png,4322,4322,13,126.0,8277,214,149,well4322_day13_well.png,0.11716597893185496
96,762,1,138.0,7392,1088,884,well0762_day01_well.png,0762,762,13,145.0,7920,410,34,well0762_day13_well.png,0.026735860964315895
97,4256,1,117.0,7920,1,0,well4256_day01_well.png,4256,4256,13,128.0,9776,766,780,well4256_day13_well.png,0.6133521044754823
98,4647,1,115.0,9504,202,0,well4647_day01_well.png,4647,4647,13,126.0,8928,692,113,well4647_day13_well.png,0.08885742026375577
99,2121,1,131.0,8280,317,230,well2121_day01_well.png,2121,2121,13,135.0,7055,151,0,well2121_day13_well.png,0.0
100,4403,1,116.0,8096,3,0,well4403_day01_well.png,4403,4403,13,126.0,8930,41,0,well4403_day13_well.png,0.0
101,3701,1,122.0,8010,578,557,well3701_day01_well.png,3701,3701,13,132.0,8188,814,585,well3701_day13_well.png,0.46001407835661173
102,4394,1,117.0,7656,8,0,well4394_day01_well.png,4394,4394,13,127.0,9476,999,990,well4394_day13_well.png,0.7784853633727276
103,638,1,140.0,8712,128,0,well0638_day01_well.png,0638,638,13,135.0,7310,313,201,well0638_day13_well.png,0.15805611923022045
104,1251,1,122.0,14097,2983,2288,well1251_day01_well.png,1251,1251,13,133.0,8554,927,814,well1251_day13_well.png,0.6400879654397982
105,2291,1,118.0,8099,727,662,well2291_day01_well.png,2291,2291,13,128.0,8550,1898,1631,well2291_day13_well.png,1.2825349774352715
106,2372,1,116.0,8008,8,0,well2372_day01_well.png,2372,2372,13,125.0,8736,58,0,well2372_day13_well.png,0.0
107,2584,1,119.0,7743,20,0,well2584_day01_well.png,2584,2584,13,130.0,8188,65,0,well2584_day13_well.png,0.0
108,1989,1,127.0,8190,97,0,well1989_day01_well.png,1989,1989,13,134.0,6888,200,0,well1989_day13_well.png,0.0
109,1030,1,131.0,9996,602,0,well1030_day01_well.png,1030,1030,13,130.0,8924,1465,1369,well1030_day13_well.png,1.0765115782396606
110,4420,1,117.0,7830,334,251,well4420_day01_well.png,4420,4420,13,126.0,8277,763,596,well4420_day13_well.png,0.46866391572741983
111,4585,1,117.0,8091,94,0,well4585_day01_well.png,4585,4585,13,126.0,8550,281,0,well4585_day13_well.png,0.0
112,4748,1,117.0,8277,8,0,well4748_day01_well.png,4748,4748,13,96.0,12765,10852,10386,well4748_day13_well.png,8.167019175746615
113,1402,1,136.0,7055,46,0,well1402_day01_well.png,1402,1402,13,133.0,9720,258,118,well1402_day13_well.png,0.092789164523214
114,4715,1,116.0,4278,1490,1472,well4715_day01_well.png,4715,4715,13,125.0,5538,2530,2520,well4715_day13_well.png,1.981599106766943
115,253,1,145.0,7569,65,0,well0253_day01_well.png,0253,253,13,137.0,7140,113,0,well0253_day13_well.png,0.0
116,2174,1,119.0,8010,11,0,well2174_day01_well.png,2174,2174,13,128.0,9024,10,0,well2174_day13_well.png,0.0
117,822,1,140.0,7392,1016,830,well0822_day01_well.png,0822,822,13,142.0,7830,181,139,well0822_day13_well.png,0.10930249041293852
118,2288,1,122.0,8188,115,0,well2288_day01_well.png,2288,2288,13,130.0,8648,170,0,well2288_day13_well.png,0.0
119,3597,1,117.0,8188,20,0,well3597_day01_well.png,3597,3597,13,127.0,8272,165,0,well3597_day13_well.png,0.0
120,4515,1,117.0,8099,15,0,well4515_day01_well.png,4515,4515,13,127.0,10044,1618,1522,well4515_day13_well.png,1.1968229525790821
121,3511,1,117.0,8370,60,0,well3511_day01_well.png,3511,3511,13,126.0,8930,165,0,well3511_day13_well.png,0.0
122,4201,1,118.0,7920,3,0,well4201_day01_well.png,4201,4201,13,129.0,8649,7,0,well4201_day13_well.png,0.0
123,335,1,145.0,7826,331,251,well0335_day01_well.png,0335,335,13,138.0,7392,664,577,well0335_day13_well.png,0.4537232875414786
124,1257,1,117.0,8004,35,0,well1257_day01_well.png,1257,1257,13,130.0,9964,474,352,well1257_day13_well.png,0.2767947958658587
125,400,1,143.0,7387,147,0,well0400_day01_well.png,0400,400,13,150.0,8265,129,0,well0400_day13_well.png,0.0
126,1670,1,127.0,8550,65,0,well1670_day01_well.png,1670,1670,13,135.0,7308,52,0,well1670_day13_well.png,0.0
127,3281,1,118.0,7744,1,0,well3281_day01_well.png,3281,3281,13,128.0,8464,578,531,well3281_day13_well.png,0.41755124035446295
128,2521,1,120.0,7820,109,81,well2521_day01_well.png,2521,2521,13,131.0,6160,964,761,well2521_day13_well.png,0.5984114762895411
129,4696,1,118.0,8360,139,0,well4696_day01_well.png,4696,4696,13,127.0,8455,757,255,well4696_day13_well.png,0.20051895723236923
130,3675,1,117.0,7917,2,0,well3675_day01_well.png,3675,3675,13,127.0,9600,293,0,well3675_day13_well.png,0.0
131,4521,1,115.0,8277,7,0,well4521_day01_well.png,4521,4521,13,126.0,8640,438,0,well4521_day13_well.png,0.0
132,2740,1,117.0,8280,42,0,well2740_day01_well.png,2740,2740,13,128.0,8820,222,0,well2740_day13_well.png,0.0
133,2466,1,119.0,7560,17,0,well2466_day01_well.png,2466,2466,13,132.0,8272,29,0,well2466_day13_well.png,0.0
134,4060,1,118.0,7921,5,0,well4060_day01_well.png,4060,4060,13,128.0,8184,378,226,well4060_day13_well.png,0.17771484052751155
135,1668,1,129.0,8550,60,0,well1668_day01_well.png,1668,1668,13,130.0,8178,231,0,well1668_day13_well.png,0.0
136,1807,1,131.0,8742,595,553,well1807_day01_well.png,1807,1807,13,136.0,7878,219,122,well1807_day13_well.png,0.09593455993078057
137,1686,1,134.0,6724,68,0,well1686_day01_well.png,1686,1686,13,137.0,7392,69,0,well1686_day13_well.png,0.0
138,980,1,138.0,6972,1271,1211,well0980_day01_well.png,0980,980,13,137.0,6972,519,382,well0980_day13_well.png,0.300385261422608
139,3533,1,117.0,8099,8,0,well3533_day01_well.png,3533,3533,13,126.0,8550,124,0,well3533_day13_well.png,0.0
140,171,1,148.0,8484,406,299,well0171_day01_well.png,0171,171,13,138.0,7387,522,350,well0171_day13_well.png,0.2752220981620754
141,3441,1,118.0,8096,12,0,well3441_day01_well.png,3441,3441,13,129.0,8550,144,78,well3441_day13_well.png,0.061335210447548236
142,491,1,144.0,7740,24,0,well0491_day01_well.png,0491,491,13,141.0,7568,25,0,well0491_day13_well.png,0.0
143,2292,1,117.0,8188,14,0,well2292_day01_well.png,2292,2292,13,128.0,8366,34,0,well2292_day13_well.png,0.0
144,1676,1,121.0,7917,27,0,well1676_day01_well.png,1676,1676,13,131.0,8265,985,800,well1676_day13_well.png,0.6290790815133152
145,4049,1,117.0,7830,9,0,well4049_day01_well.png,4049,4049,13,130.0,8188,330,0,well4049_day13_well.png,0.0
146,2241,1,126.0,8460,950,466,well2241_day01_well.png,2241,2241,13,129.0,8464,364,127,well2241_day13_well.png,0.09986630419023879
147,1462,1,138.0,7140,72,0,well1462_day01_well.png,1462,1462,13,136.0,7055,67,0,well1462_day13_well.png,0.0
148,122,1,145.0,7480,7,0,well0122_day01_well.png,0122,122,13,148.0,7920,775,658,well0122_day13_well.png,0.5174175445447018
149,2759,1,120.0,7830,53,0,well2759_day01_well.png,2759,2759,13,129.0,8280,37,0,well2759_day13_well.png,0.0
150,3579,1,117.0,8099,426,359,well3579_day01_well.png,3579,3579,13,127.0,8370,109,0,well3579_day13_well.png,0.0
151,4059,1,21.0,11340,4088,4081,well4059_day01_well.png,4059,4059,13,129.0,8640,1634,1532,well4059_day13_well.png,1.2046864410979987
152,2585,1,119.0,7912,3,0,well2585_day01_well.png,2585,2585,13,130.0,9785,75,0,well2585_day13_well.png,0.0
153,2973,1,118.0,7920,6,0,well2973_day01_well.png,2973,2973,13,126.0,13098,2338,2019,well2973_day13_well.png,1.5876383319692293
154,406,1,145.0,7830,228,140,well0406_day01_well.png,0406,406,13,147.0,14625,4041,3390,well0406_day13_well.png,2.6657226079126732
155,4742,1,117.0,8280,22,0,well4742_day01_well.png,4742,4742,13,127.0,8372,79,0,well4742_day13_well.png,0.0
156,1285,1,132.0,6480,7,0,well1285_day01_well.png,1285,1285,13,138.0,7308,8,0,well1285_day13_well.png,0.0
157,3272,1,118.0,7912,4,0,well3272_day01_well.png,3272,3272,13,127.0,8372,5,0,well3272_day13_well.png,0.0
158,1647,1,132.0,11660,396,203,well1647_day01_well.png,1647,1647,13,138.0,7225,65,0,well1647_day13_well.png,0.0
159,3868,1,119.0,8010,61,0,well3868_day01_well.png,3868,3868,13,129.0,8370,235,122,well3868_day13_well.png,0.09593455993078057
160,2007,1,130.0,8370,53,0,well2007_day01_well.png,2007,2007,13,133.0,6970,352,121,well2007_day13_well.png,0.09514821107888892
161,897,1,134.0,7056,26,0,well0897_day01_well.png,0897,897,13,136.0,8366,188,83,well0897_day13_well.png,0.06526695470700646
162,3435,1,118.0,8366,22,0,well3435_day01_well.png,3435,3435,13,128.0,8280,46,0,well3435_day13_well.png,0.0
163,2856,1,119.0,8096,460,443,well2856_day01_well.png,2856,2856,13,128.0,8366,292,0,well2856_day13_well.png,0.0
164,3826,1,120.0,9120,91,0,well3826_day01_well.png,3826,3826,13,130.0,8178,516,34,well3826_day13_well.png,0.026735860964315895
165,3507,1,118.0,8372,11,0,well3507_day01_well.png,3507,3507,13,127.0,8832,741,578,well3507_day13_well.png,0.4545096363933702
166,3409,1,118.0,8004,2,0,well3409_day01_well.png,3409,3409,13,127.0,9464,25,0,well3409_day13_well.png,0.0
167,469,1,143.0,7654,45,0,well0469_day01_well.png,0469,469,13,148.0,7912,43,0,well0469_day13_well.png,0.0
168,3977,1,94.0,12075,1073,833,well3977_day01_well.png,3977,3977,13,118.0,8455,1652,1436,well3977_day13_well.png,1.1291969513164009
169,167,1,150.0,7830,19,0,well0167_day01_well.png,0167,167,13,146.0,7743,101,0,well0167_day13_well.png,0.0
170,72,1,146.0,7832,20,0,well0072_day01_well.png,0072,72,13,133.0,7138,363,233,well0072_day13_well.png,0.18321928249075306
171,2666,1,121.0,9310,412,381,well2666_day01_well.png,2666,2666,13,130.0,8550,3101,2368,well2666_day13_well.png,1.862074081279413
172,3596,1,117.0,8272,209,0,well3596_day01_well.png,3596,3596,13,127.0,8640,232,0,well3596_day13_well.png,0.0
173,3894,1,114.0,7395,212,0,well3894_day01_well.png,3894,3894,13,117.0,9310,1535,988,well3894_day13_well.png,0.7769126656689442
174,1452,1,126.0,8277,54,0,well1452_day01_well.png,1452,1452,13,133.0,6480,272,237,well1452_day13_well.png,0.18636467789831962
175,2006,1,131.0,8464,77,0,well2006_day01_well.png,2006,2006,13,132.0,6642,111,0,well2006_day13_well.png,0.0
176,1517,1,119.0,9108,17,0,well1517_day01_well.png,1517,1517,13,131.0,8366,185,0,well1517_day13_well.png,0.0
177,4448,1,117.0,7832,15,0,well4448_day01_well.png,4448,4448,13,125.0,9919,1011,862,well4448_day13_well.png,0.6778327103305971
178,70,1,147.0,7654,2,0,well0070_day01_well.png,0070,70,13,134.0,6885,19,0,well0070_day13_well.png,0.0
179,4188,1,116.0,7826,555,44,well4188_day01_well.png,4188,4188,13,128.0,8633,1354,1322,well4188_day13_well.png,1.0395531822007533
180,2352,1,116.0,8190,2,0,well2352_day01_well.png,2352,2352,13,126.0,8455,118,0,well2352_day13_well.png,0.0
181,1550,1,127.0,8463,57,0,well1550_day01_well.png,1550,1550,13,130.0,8648,622,244,well1550_day13_well.png,0.19186911986156113
182,1187,1,129.0,8554,315,296,well1187_day01_well.png,1187,1187,13,129.0,8648,1188,1074,well1187_day13_well.png,0.8445386669316257
183,2823,1,117.0,8184,28,0,well2823_day01_well.png,2823,2823,13,130.0,9797,465,61,well2823_day13_well.png,0.04796727996539028
184,3144,1,119.0,7743,58,0,well3144_day01_well.png,3144,3144,13,130.0,8366,741,618,well3144_day13_well.png,0.485963590469036
185,2397,1,118.0,8439,9,0,well2397_day01_well.png,2397,2397,13,128.0,8832,1543,1111,well2397_day13_well.png,0.8736335744516165
186,2476,1,121.0,7917,7,0,well2476_day01_well.png,2476,2476,13,132.0,6059,419,83,well2476_day13_well.png,0.06526695470700646
187,1655,1,121.0,7917,43,0,well1655_day01_well.png,1655,1655,13,133.0,7954,158,0,well1655_day13_well.png,0.0
188,3776,1,119.0,8835,32,0,well3776_day01_well.png,3776,3776,13,129.0,8550,1855,1678,well3776_day13_well.png,1.3194933734741787
189,4458,1,118.0,8099,0,0,well4458_day01_well.png,4458,4458,13,128.0,8550,232,0,well4458_day13_well.png,0.0
190,2725,1,120.0,8280,6,0,well2725_day01_well.png,2725,2725,13,129.0,8550,25,0,well2725_day13_well.png,0.0
191,2227,1,123.0,8372,1031,990,well2227_day01_well.png,2227,2227,13,128.0,8256,1569,1243,well2227_day13_well.png,0.9774316229013135
192,2999,1,118.0,8096,20,0,well2999_day01_well.png,2999,2999,13,127.0,8370,239,119,well2999_day13_well.png,0.09357551337510564
193,1119,1,126.0,8463,288,174,well1119_day01_well.png,1119,1119,13,130.0,8544,556,391,well1119_day13_well.png,0.3074624010896328
194,680,1,138.0,6888,539,167,well0680_day01_well.png,0680,680,13,144.0,7568,208,117,well0680_day13_well.png,0.09200281567132235
195,3293,1,117.0,8184,2,0,well3293_day01_well.png,3293,3293,13,127.0,8366,39,0,well3293_day13_well.png,0.0
196,1858,1,119.0,8277,26,0,well1858_day01_well.png,1858,1858,13,129.0,8649,1175,702,well1858_day13_well.png,0.5520168940279341
197,1148,1,130.0,8835,236,0,well1148_day01_well.png,1148,1148,13,131.0,8281,102,0,well1148_day13_well.png,0.0
198,4003,1,118.0,8004,4,0,well4003_day01_well.png,4003,4003,13,128.0,8464,12,0,well4003_day13_well.png,0.0
199,2579,1,120.0,8010,195,0,well2579_day01_well.png,2579,2579,13,130.0,8370,377,178,well2579_day13_well.png,0.13997009563671264
200,1399,1,116.0,8010,45,0,well1399_day01_well.png,1399,1399,13,129.0,8640,535,306,well1399_day13_well.png,0.24062274867884306
201,3047,1,119.0,8550,1,0,well3047_day01_well.png,3047,3047,13,130.0,8648,3016,2729,well3047_day13_well.png,2.1459460168122964
202,3580,1,118.0,9828,35,0,well3580_day01_well.png,3580,3580,13,127.0,8645,120,0,well3580_day13_well.png,0.0
203,3434,1,117.0,8178,12,0,well3434_day01_well.png,3434,3434,13,126.0,8352,22,0,well3434_day13_well.png,0.0
204,3161,1,117.0,7921,191,51,well3161_day01_well.png,3161,3161,13,130.0,8742,180,0,well3161_day13_well.png,0.0
205,4237,1,118.0,9108,576,110,well4237_day01_well.png,4237,4237,13,128.0,8265,2199,1746,well4237_day13_well.png,1.3729650954028105
206,988,1,136.0,7310,86,0,well0988_day01_well.png,0988,988,13,135.0,7138,66,0,well0988_day13_well.png,0.0
207,4684,1,116.0,8366,11,0,well4684_day01_well.png,4684,4684,13,125.0,9216,27,0,well4684_day13_well.png,0.0
208,1183,1,134.0,6806,79,0,well1183_day01_well.png,1183,1183,13,131.0,9476,148,0,well1183_day13_well.png,0.0
